album_id,artist_ids,disc_number,duration_ms,explicit,external_ids,external_urls,href,id,is_local,name,popularity,preview_url,track_number,type,uri
2EexU9SdoDbgCGazUepCyL,"[""07PdYoE4jVRF6Ut40GgVSP""]",1,234200,1,"{""isrc"": ""MX3601400006""}","{""spotify"": ""https://open.spotify.com/track/6BtJgy7K98DgzCO8tRvEbw""}",https://api.spotify.com/v1/tracks/6BtJgy7K98DgzCO8tRvEbw,6BtJgy7K98DgzCO8tRvEbw,0,Es de Ley,67,https://p.scdn.co/mp3-preview/04d4f03a2897a3143186cdf6bbc710777f21aa72?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,4,track,spotify:track:6BtJgy7K98DgzCO8tRvEbw
1uGcuxj82T9LJcoZBGjvDB,"[""6nyqrmf9qc4W94YKtsPel9""]",1,216000,1,"{""isrc"": ""FR59R2002497""}","{""spotify"": ""https://open.spotify.com/track/6CgHwODrUSJ8I4oHrh5lSx""}",https://api.spotify.com/v1/tracks/6CgHwODrUSJ8I4oHrh5lSx,6CgHwODrUSJ8I4oHrh5lSx,0,La Morena,51,https://p.scdn.co/mp3-preview/fb8086c2040f328dd5e8cee950138d154e805520?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:6CgHwODrUSJ8I4oHrh5lSx
009RfrV6iVJcoht9FDlX6l,"[""3L7OHIT4kfdcDSnnGM0TKN""]",1,275458,1,"{""isrc"": ""ESA012128986""}","{""spotify"": ""https://open.spotify.com/track/6DHGMCiR0TMMOTNQDJgBRr""}",https://api.spotify.com/v1/tracks/6DHGMCiR0TMMOTNQDJgBRr,6DHGMCiR0TMMOTNQDJgBRr,0,Morfina,11,https://p.scdn.co/mp3-preview/bbec6f7ec97d99edf33a3af9c4200200b3d3799a?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:6DHGMCiR0TMMOTNQDJgBRr
5HTtQMQxpNk64Uj1zXjufs,"[""7GmXwGXJSsmWTkCyk5Twux""]",1,299480,0,"{""isrc"": ""ES6081641201""}","{""spotify"": ""https://open.spotify.com/track/6EGu61VFotaLbhE0686viC""}",https://api.spotify.com/v1/tracks/6EGu61VFotaLbhE0686viC,6EGu61VFotaLbhE0686viC,0,Intro (El Círculo),44,https://p.scdn.co/mp3-preview/3615393b9c54de5d18c6f16ce2f3280f83b00990?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:6EGu61VFotaLbhE0686viC
4u4NDEFYlFCFapQWlXTfLQ,"[""23TYM4mYLQjyJLr4x89MjH""]",1,211701,0,"{""isrc"": ""ushm81486018""}","{""spotify"": ""https://open.spotify.com/track/6EJR5kc9q70DM1N9hkXhoL""}",https://api.spotify.com/v1/tracks/6EJR5kc9q70DM1N9hkXhoL,6EJR5kc9q70DM1N9hkXhoL,0,El Temblor,16,https://p.scdn.co/mp3-preview/c10574677970a0d7c8f8b9f5daba9f97a63fed56?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,10,track,spotify:track:6EJR5kc9q70DM1N9hkXhoL
0vKc2lOmgoFaSnlV2K4VIt,"[""6pu8qjuOYZRBYc1hiHEVL5""]",1,182691,1,"{""isrc"": ""QZMEP2086032""}","{""spotify"": ""https://open.spotify.com/track/6FN0xX0lOSz5J9I1utJLe6""}",https://api.spotify.com/v1/tracks/6FN0xX0lOSz5J9I1utJLe6,6FN0xX0lOSz5J9I1utJLe6,0,U. Kings,13,https://p.scdn.co/mp3-preview/f7ced9befceaad1454d6621cde029633c7596398?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,3,track,spotify:track:6FN0xX0lOSz5J9I1utJLe6
4m8ocjUD5V0ayytIbaa6xY,"[""3AgxRYe2kXEfsZyB07hqJF""]",1,182899,1,"{""isrc"": ""QZ5AB1720235""}","{""spotify"": ""https://open.spotify.com/track/6FNGZSpVnShfZPVzeUY54g""}",https://api.spotify.com/v1/tracks/6FNGZSpVnShfZPVzeUY54g,6FNGZSpVnShfZPVzeUY54g,0,Update,16,https://p.scdn.co/mp3-preview/59a13479698de4234d2f34d54f3177a0bb8fc4f7?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,11,track,spotify:track:6FNGZSpVnShfZPVzeUY54g
62We7kcnouERjNBAKo8wG1,"[""4Hzj6dfl1y5x5TzCSsvLB6""]",1,90218,1,"{""isrc"": ""QZNJY2245172""}","{""spotify"": ""https://open.spotify.com/track/6FuQjeLWfpT3nDZfEWP1ws""}",https://api.spotify.com/v1/tracks/6FuQjeLWfpT3nDZfEWP1ws,6FuQjeLWfpT3nDZfEWP1ws,0,Intro,0,https://p.scdn.co/mp3-preview/ad1efb241da8d916249a2c13f4a8269fc6160e07?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:6FuQjeLWfpT3nDZfEWP1ws
7AHtc6OAl2sjWBoM9e4izf,"[""7BQJLHBNVvz4O2JHmls4Ef""]",1,173493,0,"{""isrc"": ""QZHN32105652""}","{""spotify"": ""https://open.spotify.com/track/6G2sWxMuVUGN8kuVwtnDT7""}",https://api.spotify.com/v1/tracks/6G2sWxMuVUGN8kuVwtnDT7,6G2sWxMuVUGN8kuVwtnDT7,0,Somos o No Somos,18,https://p.scdn.co/mp3-preview/76b271fab15cba789ea23652c3f243d0297e0a93?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,5,track,spotify:track:6G2sWxMuVUGN8kuVwtnDT7
2asPHwYLmWPVhS0VA6Uu6N,"[""1iIxNEvPPmdFIIP0tdpw6G""]",1,151626,0,"{""isrc"": ""QM6DC1673413""}","{""spotify"": ""https://open.spotify.com/track/6GeY3CguEjKplInUK2GKhv""}",https://api.spotify.com/v1/tracks/6GeY3CguEjKplInUK2GKhv,6GeY3CguEjKplInUK2GKhv,0,Tu Nombre,27,https://p.scdn.co/mp3-preview/27e3b5db866ded357be3e2adfa0d779261991ae3?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,9,track,spotify:track:6GeY3CguEjKplInUK2GKhv
