external_urls,href,id,name,type,uri
"{""spotify"": ""https://open.spotify.com/artist/0g9vAlRPK9Gt3FKCekk4TW""}",https://api.spotify.com/v1/artists/0g9vAlRPK9Gt3FKCekk4TW,0g9vAlRPK9Gt3FKCekk4TW,Ab-Soul,artist,spotify:artist:0g9vAlRPK9Gt3FKCekk4TW
"{""spotify"": ""https://open.spotify.com/artist/0hHT2BH7XTm3ZdZb6CX064""}",https://api.spotify.com/v1/artists/0hHT2BH7XTm3ZdZb6CX064,0hHT2BH7XTm3ZdZb6CX064,Raymix,artist,spotify:artist:0hHT2BH7XTm3ZdZb6CX064
"{""spotify"": ""https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp""}",https://api.spotify.com/v1/artists/0iEtIxbK0KxaSlF7G42ZOp,0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,artist,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp
"{""spotify"": ""https://open.spotify.com/artist/0iPS5GpwbHSmgNXfGE674K""}",https://api.spotify.com/v1/artists/0iPS5GpwbHSmgNXfGE674K,0iPS5GpwbHSmgNXfGE674K,Bambu,artist,spotify:artist:0iPS5GpwbHSmgNXfGE674K
"{""spotify"": ""https://open.spotify.com/artist/0l1OSQn6GtjfEE1Cb8LE1t""}",https://api.spotify.com/v1/artists/0l1OSQn6GtjfEE1Cb8LE1t,0l1OSQn6GtjfEE1Cb8LE1t,Zimple,artist,spotify:artist:0l1OSQn6GtjfEE1Cb8LE1t
"{""spotify"": ""https://open.spotify.com/artist/0l4wnZV8y2KyYdKHtlkMOX""}",https://api.spotify.com/v1/artists/0l4wnZV8y2KyYdKHtlkMOX,0l4wnZV8y2KyYdKHtlkMOX,Royal Religion,artist,spotify:artist:0l4wnZV8y2KyYdKHtlkMOX
"{""spotify"": ""https://open.spotify.com/artist/0nOyxRsVicKeiBbB6zdIMu""}",https://api.spotify.com/v1/artists/0nOyxRsVicKeiBbB6zdIMu,0nOyxRsVicKeiBbB6zdIMu,Kinto Sol,artist,spotify:artist:0nOyxRsVicKeiBbB6zdIMu
"{""spotify"": ""https://open.spotify.com/artist/0pePYDrJGk8gqMRbXrLJC8""}",https://api.spotify.com/v1/artists/0pePYDrJGk8gqMRbXrLJC8,0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,artist,spotify:artist:0pePYDrJGk8gqMRbXrLJC8
"{""spotify"": ""https://open.spotify.com/artist/0piTxP9AnX0XcANZNjxcyB""}",https://api.spotify.com/v1/artists/0piTxP9AnX0XcANZNjxcyB,0piTxP9AnX0XcANZNjxcyB,Da Players Town,artist,spotify:artist:0piTxP9AnX0XcANZNjxcyB
"{""spotify"": ""https://open.spotify.com/artist/0qHbO3z6lgLE6ZYCkQBo1K""}",https://api.spotify.com/v1/artists/0qHbO3z6lgLE6ZYCkQBo1K,0qHbO3z6lgLE6ZYCkQBo1K,Lil Supa,artist,spotify:artist:0qHbO3z6lgLE6ZYCkQBo1K
"{""spotify"": ""https://open.spotify.com/artist/0qSI61J1G087Uu0983xyJD""}",https://api.spotify.com/v1/artists/0qSI61J1G087Uu0983xyJD,0qSI61J1G087Uu0983xyJD,Cris Michel,artist,spotify:artist:0qSI61J1G087Uu0983xyJD
"{""spotify"": ""https://open.spotify.com/artist/0qTZZWLzuD59Un5r1speHm""}",https://api.spotify.com/v1/artists/0qTZZWLzuD59Un5r1speHm,0qTZZWLzuD59Un5r1speHm,Chris Jedi,artist,spotify:artist:0qTZZWLzuD59Un5r1speHm
"{""spotify"": ""https://open.spotify.com/artist/0rJ0xlAQI0wLRucDRoQQbO""}",https://api.spotify.com/v1/artists/0rJ0xlAQI0wLRucDRoQQbO,0rJ0xlAQI0wLRucDRoQQbO,El Makabelico,artist,spotify:artist:0rJ0xlAQI0wLRucDRoQQbO
"{""spotify"": ""https://open.spotify.com/artist/0s3Y8xkWIDr2B4qDsgKJUL""}",https://api.spotify.com/v1/artists/0s3Y8xkWIDr2B4qDsgKJUL,0s3Y8xkWIDr2B4qDsgKJUL,Arsenal de Rimas,artist,spotify:artist:0s3Y8xkWIDr2B4qDsgKJUL
"{""spotify"": ""https://open.spotify.com/artist/0uCVN0ZSViQ4xVwJsDqfVo""}",https://api.spotify.com/v1/artists/0uCVN0ZSViQ4xVwJsDqfVo,0uCVN0ZSViQ4xVwJsDqfVo,Gayo Valdez,artist,spotify:artist:0uCVN0ZSViQ4xVwJsDqfVo
"{""spotify"": ""https://open.spotify.com/artist/0x2z4hugJaiGdTP0lzhxvO""}",https://api.spotify.com/v1/artists/0x2z4hugJaiGdTP0lzhxvO,0x2z4hugJaiGdTP0lzhxvO,A.C.O,artist,spotify:artist:0x2z4hugJaiGdTP0lzhxvO
"{""spotify"": ""https://open.spotify.com/artist/0yNSzH5nZmHzeE2xn6Xshb""}",https://api.spotify.com/v1/artists/0yNSzH5nZmHzeE2xn6Xshb,0yNSzH5nZmHzeE2xn6Xshb,Calle 13,artist,spotify:artist:0yNSzH5nZmHzeE2xn6Xshb
"{""spotify"": ""https://open.spotify.com/artist/0yWcBatdQPfGvY4XEGeD6m""}",https://api.spotify.com/v1/artists/0yWcBatdQPfGvY4XEGeD6m,0yWcBatdQPfGvY4XEGeD6m,Elote el Barbaro,artist,spotify:artist:0yWcBatdQPfGvY4XEGeD6m
"{""spotify"": ""https://open.spotify.com/artist/0zM7iL4aQ9IlzciOyD4oHC""}",https://api.spotify.com/v1/artists/0zM7iL4aQ9IlzciOyD4oHC,0zM7iL4aQ9IlzciOyD4oHC,Rossi Rock,artist,spotify:artist:0zM7iL4aQ9IlzciOyD4oHC
